areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate,newPeopleVaccinatedCompleteByVaccinationDate
E10000030,Surrey,utla,2021-10-11,869,1,
E10000030,Surrey,utla,2021-10-10,767,1,310
E10000030,Surrey,utla,2021-10-09,497,1,674
E10000030,Surrey,utla,2021-10-08,708,3,485
E10000030,Surrey,utla,2021-10-07,703,1,481
E10000030,Surrey,utla,2021-10-06,750,0,531
E10000030,Surrey,utla,2021-10-05,719,3,442
E10000030,Surrey,utla,2021-10-04,694,2,427
E10000030,Surrey,utla,2021-10-03,489,0,246
E10000030,Surrey,utla,2021-10-02,513,0,738
E10000030,Surrey,utla,2021-10-01,390,2,494
E10000030,Surrey,utla,2021-09-30,548,2,553
E10000030,Surrey,utla,2021-09-29,634,0,691
E10000030,Surrey,utla,2021-09-28,679,4,550
E10000030,Surrey,utla,2021-09-27,593,0,502
E10000030,Surrey,utla,2021-09-26,364,0,249
E10000030,Surrey,utla,2021-09-25,525,3,999
E10000030,Surrey,utla,2021-09-24,595,1,755
E10000030,Surrey,utla,2021-09-23,593,1,681
E10000030,Surrey,utla,2021-09-22,633,3,797
E10000030,Surrey,utla,2021-09-21,534,1,519
E10000030,Surrey,utla,2021-09-20,575,1,777
E10000030,Surrey,utla,2021-09-19,397,0,584
E10000030,Surrey,utla,2021-09-18,395,2,1519
E10000030,Surrey,utla,2021-09-17,424,2,854
E10000030,Surrey,utla,2021-09-16,451,0,1080
E10000030,Surrey,utla,2021-09-15,387,0,1136
E10000030,Surrey,utla,2021-09-14,365,0,1275
E10000030,Surrey,utla,2021-09-13,388,0,759
E10000030,Surrey,utla,2021-09-12,287,1,582
E10000030,Surrey,utla,2021-09-11,397,0,1750
E10000030,Surrey,utla,2021-09-10,406,1,1194
E10000030,Surrey,utla,2021-09-09,438,2,1455
E10000030,Surrey,utla,2021-09-08,455,1,1486
E10000030,Surrey,utla,2021-09-07,438,2,1154
E10000030,Surrey,utla,2021-09-06,477,0,1340
E10000030,Surrey,utla,2021-09-05,539,1,1354
E10000030,Surrey,utla,2021-09-04,593,0,2387
E10000030,Surrey,utla,2021-09-03,513,1,1759
E10000030,Surrey,utla,2021-09-02,639,1,1621
E10000030,Surrey,utla,2021-09-01,497,4,2119
E10000030,Surrey,utla,2021-08-31,319,1,1921
E10000030,Surrey,utla,2021-08-30,351,0,900
E10000030,Surrey,utla,2021-08-29,361,0,1214
E10000030,Surrey,utla,2021-08-28,444,1,2510
E10000030,Surrey,utla,2021-08-27,449,3,1915
E10000030,Surrey,utla,2021-08-26,538,2,2096
E10000030,Surrey,utla,2021-08-25,511,2,1948
E10000030,Surrey,utla,2021-08-24,432,4,2221
E10000030,Surrey,utla,2021-08-23,412,1,2124
E10000030,Surrey,utla,2021-08-22,538,0,1980
E10000030,Surrey,utla,2021-08-21,622,1,4756
E10000030,Surrey,utla,2021-08-20,585,1,2260
E10000030,Surrey,utla,2021-08-19,608,1,2656
E10000030,Surrey,utla,2021-08-18,604,3,3024
E10000030,Surrey,utla,2021-08-17,453,3,2511
E10000030,Surrey,utla,2021-08-16,459,0,2197
E10000030,Surrey,utla,2021-08-15,459,1,2625
E10000030,Surrey,utla,2021-08-14,502,0,5082
E10000030,Surrey,utla,2021-08-13,606,2,2760
E10000030,Surrey,utla,2021-08-12,481,1,3427
E10000030,Surrey,utla,2021-08-11,455,2,3669
E10000030,Surrey,utla,2021-08-10,426,0,3102
E10000030,Surrey,utla,2021-08-09,377,0,2805
E10000030,Surrey,utla,2021-08-08,452,1,3465
E10000030,Surrey,utla,2021-08-07,442,1,5195
E10000030,Surrey,utla,2021-08-06,532,0,3441
E10000030,Surrey,utla,2021-08-05,452,0,4078
E10000030,Surrey,utla,2021-08-04,381,2,2628
E10000030,Surrey,utla,2021-08-03,366,2,3202
E10000030,Surrey,utla,2021-08-02,290,0,2220
E10000030,Surrey,utla,2021-08-01,327,0,2266
E10000030,Surrey,utla,2021-07-31,369,3,4783
E10000030,Surrey,utla,2021-07-30,414,0,2885
E10000030,Surrey,utla,2021-07-29,462,0,4293
E10000030,Surrey,utla,2021-07-28,345,1,2827
E10000030,Surrey,utla,2021-07-27,301,3,2050
E10000030,Surrey,utla,2021-07-26,361,0,2303
E10000030,Surrey,utla,2021-07-25,337,0,2026
E10000030,Surrey,utla,2021-07-24,465,1,4170
E10000030,Surrey,utla,2021-07-23,529,0,4126
E10000030,Surrey,utla,2021-07-22,598,1,3560
E10000030,Surrey,utla,2021-07-21,684,0,4322
E10000030,Surrey,utla,2021-07-20,566,0,4015
E10000030,Surrey,utla,2021-07-19,706,1,3385
E10000030,Surrey,utla,2021-07-18,723,0,4071
E10000030,Surrey,utla,2021-07-17,878,1,7653
E10000030,Surrey,utla,2021-07-16,927,0,3132
E10000030,Surrey,utla,2021-07-15,795,2,3667
E10000030,Surrey,utla,2021-07-14,610,0,3637
E10000030,Surrey,utla,2021-07-13,577,0,2673
E10000030,Surrey,utla,2021-07-12,618,0,3033
E10000030,Surrey,utla,2021-07-11,443,0,2144
E10000030,Surrey,utla,2021-07-10,384,3,5498
E10000030,Surrey,utla,2021-07-09,376,0,2898
E10000030,Surrey,utla,2021-07-08,350,0,3080
E10000030,Surrey,utla,2021-07-07,352,0,2227
E10000030,Surrey,utla,2021-07-06,429,0,2457
E10000030,Surrey,utla,2021-07-05,323,0,3881
E10000030,Surrey,utla,2021-07-04,269,0,2989
E10000030,Surrey,utla,2021-07-03,271,1,5532
E10000030,Surrey,utla,2021-07-02,341,0,3339
E10000030,Surrey,utla,2021-07-01,313,0,3700
E10000030,Surrey,utla,2021-06-30,261,1,3266
E10000030,Surrey,utla,2021-06-29,248,0,3125
E10000030,Surrey,utla,2021-06-28,290,1,4539
E10000030,Surrey,utla,2021-06-27,134,0,3135
E10000030,Surrey,utla,2021-06-26,211,1,3969
E10000030,Surrey,utla,2021-06-25,178,0,3701
E10000030,Surrey,utla,2021-06-24,176,1,3754
E10000030,Surrey,utla,2021-06-23,143,0,2989
E10000030,Surrey,utla,2021-06-22,120,0,3010
E10000030,Surrey,utla,2021-06-21,100,1,3120
E10000030,Surrey,utla,2021-06-20,89,0,4248
E10000030,Surrey,utla,2021-06-19,93,0,3779
E10000030,Surrey,utla,2021-06-18,132,0,3304
E10000030,Surrey,utla,2021-06-17,121,1,5622
E10000030,Surrey,utla,2021-06-16,127,0,3494
E10000030,Surrey,utla,2021-06-15,79,2,3087
E10000030,Surrey,utla,2021-06-14,69,0,4676
E10000030,Surrey,utla,2021-06-13,118,1,4166
E10000030,Surrey,utla,2021-06-12,85,0,4443
E10000030,Surrey,utla,2021-06-11,118,2,3810
E10000030,Surrey,utla,2021-06-10,85,0,5390
E10000030,Surrey,utla,2021-06-09,103,0,5202
E10000030,Surrey,utla,2021-06-08,88,0,4593
E10000030,Surrey,utla,2021-06-07,91,0,6335
E10000030,Surrey,utla,2021-06-06,96,0,5357
E10000030,Surrey,utla,2021-06-05,92,0,7259
E10000030,Surrey,utla,2021-06-04,98,2,5362
E10000030,Surrey,utla,2021-06-03,94,0,6189
E10000030,Surrey,utla,2021-06-02,57,1,5352
E10000030,Surrey,utla,2021-06-01,69,0,9423
E10000030,Surrey,utla,2021-05-31,67,1,4476
E10000030,Surrey,utla,2021-05-30,35,1,7518
E10000030,Surrey,utla,2021-05-29,42,0,7769
E10000030,Surrey,utla,2021-05-28,54,0,7500
E10000030,Surrey,utla,2021-05-27,47,1,7556
E10000030,Surrey,utla,2021-05-26,51,0,6276
