areaCode,areaName,areaType,date,newAdmissions,newCasesByPublishDate,newDeaths28DaysByPublishDate,newPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2022-06-26,1406,,,
K02000001,United Kingdom,overview,2022-06-25,1149,,,
K02000001,United Kingdom,overview,2022-06-24,1261,,,
K02000001,United Kingdom,overview,2022-06-23,1411,,,
K02000001,United Kingdom,overview,2022-06-22,1331,,,
K02000001,United Kingdom,overview,2022-06-21,1360,,,
K02000001,United Kingdom,overview,2022-06-20,1228,,,
K02000001,United Kingdom,overview,2022-06-19,1076,,,
K02000001,United Kingdom,overview,2022-06-18,923,,,
K02000001,United Kingdom,overview,2022-06-17,1006,,,
K02000001,United Kingdom,overview,2022-06-16,990,,,
K02000001,United Kingdom,overview,2022-06-15,1020,,,
K02000001,United Kingdom,overview,2022-06-14,923,,,
K02000001,United Kingdom,overview,2022-06-13,879,,,
K02000001,United Kingdom,overview,2022-06-12,787,,,
K02000001,United Kingdom,overview,2022-06-11,698,,,
K02000001,United Kingdom,overview,2022-06-10,750,,,
K02000001,United Kingdom,overview,2022-06-09,780,,,
K02000001,United Kingdom,overview,2022-06-08,805,,,
K02000001,United Kingdom,overview,2022-06-07,722,,,
K02000001,United Kingdom,overview,2022-06-06,743,,,
K02000001,United Kingdom,overview,2022-06-05,641,,,
K02000001,United Kingdom,overview,2022-06-04,531,,,
K02000001,United Kingdom,overview,2022-06-03,503,,,
K02000001,United Kingdom,overview,2022-06-02,532,,,
K02000001,United Kingdom,overview,2022-06-01,589,,,
K02000001,United Kingdom,overview,2022-05-31,600,,,
K02000001,United Kingdom,overview,2022-05-30,580,,,
K02000001,United Kingdom,overview,2022-05-29,528,,,
K02000001,United Kingdom,overview,2022-05-28,462,,,
K02000001,United Kingdom,overview,2022-05-27,536,,,
K02000001,United Kingdom,overview,2022-05-26,507,,,
K02000001,United Kingdom,overview,2022-05-25,598,,,
K02000001,United Kingdom,overview,2022-05-24,591,,,
K02000001,United Kingdom,overview,2022-05-23,598,,,
K02000001,United Kingdom,overview,2022-05-22,541,,,
K02000001,United Kingdom,overview,2022-05-21,456,,,
K02000001,United Kingdom,overview,2022-05-20,535,6338,87,
K02000001,United Kingdom,overview,2022-05-19,654,12208,169,
K02000001,United Kingdom,overview,2022-05-18,721,7791,126,
K02000001,United Kingdom,overview,2022-05-17,675,8603,185,
K02000001,United Kingdom,overview,2022-05-16,694,22337,153,
K02000001,United Kingdom,overview,2022-05-15,635,173,0,
K02000001,United Kingdom,overview,2022-05-14,618,1082,5,
K02000001,United Kingdom,overview,2022-05-13,635,6592,151,
K02000001,United Kingdom,overview,2022-05-12,790,14564,186,
K02000001,United Kingdom,overview,2022-05-11,783,8135,207,
K02000001,United Kingdom,overview,2022-05-10,871,10413,284,
K02000001,United Kingdom,overview,2022-05-09,853,26280,212,
K02000001,United Kingdom,overview,2022-05-08,757,0,0,
K02000001,United Kingdom,overview,2022-05-07,710,0,0,
K02000001,United Kingdom,overview,2022-05-06,823,11076,228,
K02000001,United Kingdom,overview,2022-05-05,875,12487,438,
K02000001,United Kingdom,overview,2022-05-04,1006,16611,227,
K02000001,United Kingdom,overview,2022-05-03,1022,35635,407,
K02000001,United Kingdom,overview,2022-05-02,945,0,0,
K02000001,United Kingdom,overview,2022-05-01,913,0,0,
K02000001,United Kingdom,overview,2022-04-30,829,0,0,
K02000001,United Kingdom,overview,2022-04-29,1004,12421,216,
K02000001,United Kingdom,overview,2022-04-28,1074,14030,248,
K02000001,United Kingdom,overview,2022-04-27,1229,17224,304,
K02000001,United Kingdom,overview,2022-04-26,1255,16579,451,
K02000001,United Kingdom,overview,2022-04-25,1279,45077,341,
K02000001,United Kingdom,overview,2022-04-24,1191,0,0,
K02000001,United Kingdom,overview,2022-04-23,1205,0,0,
K02000001,United Kingdom,overview,2022-04-22,1366,19795,284,
K02000001,United Kingdom,overview,2022-04-21,1436,23456,682,
K02000001,United Kingdom,overview,2022-04-20,1508,26147,508,
K02000001,United Kingdom,overview,2022-04-19,1623,116227,482,
K02000001,United Kingdom,overview,2022-04-18,1666,0,0,
K02000001,United Kingdom,overview,2022-04-17,1492,0,0,
K02000001,United Kingdom,overview,2022-04-16,1449,0,0,
K02000001,United Kingdom,overview,2022-04-15,1646,0,0,
K02000001,United Kingdom,overview,2022-04-14,1899,32608,350,
K02000001,United Kingdom,overview,2022-04-13,2115,35926,651,
K02000001,United Kingdom,overview,2022-04-12,2244,37819,288,
K02000001,United Kingdom,overview,2022-04-11,2112,91201,348,
K02000001,United Kingdom,overview,2022-04-10,1995,0,0,
K02000001,United Kingdom,overview,2022-04-09,1906,0,0,
K02000001,United Kingdom,overview,2022-04-08,1999,41384,347,
K02000001,United Kingdom,overview,2022-04-07,2267,47126,317,
K02000001,United Kingdom,overview,2022-04-06,2440,51253,233,
K02000001,United Kingdom,overview,2022-04-05,2595,50202,368,
K02000001,United Kingdom,overview,2022-04-04,2458,143382,210,
K02000001,United Kingdom,overview,2022-04-03,2303,0,0,
K02000001,United Kingdom,overview,2022-04-02,2083,0,0,
K02000001,United Kingdom,overview,2022-04-01,2147,69811,191,
K02000001,United Kingdom,overview,2022-03-31,2429,74720,192,
K02000001,United Kingdom,overview,2022-03-30,2687,87188,213,
K02000001,United Kingdom,overview,2022-03-29,2561,80830,303,
K02000001,United Kingdom,overview,2022-03-28,2558,215001,217,
K02000001,United Kingdom,overview,2022-03-27,2246,0,0,
K02000001,United Kingdom,overview,2022-03-26,2136,0,0,
K02000001,United Kingdom,overview,2022-03-25,2247,77509,172,
K02000001,United Kingdom,overview,2022-03-24,2359,98204,165,
K02000001,United Kingdom,overview,2022-03-23,2499,102483,194,
K02000001,United Kingdom,overview,2022-03-22,2432,94524,250,
K02000001,United Kingdom,overview,2022-03-21,2283,226524,169,
K02000001,United Kingdom,overview,2022-03-20,2037,0,0,
K02000001,United Kingdom,overview,2022-03-19,2060,0,0,
K02000001,United Kingdom,overview,2022-03-18,1964,90349,126,
K02000001,United Kingdom,overview,2022-03-17,2085,89717,138,
K02000001,United Kingdom,overview,2022-03-16,2138,91345,153,
K02000001,United Kingdom,overview,2022-03-15,2148,109802,200,
K02000001,United Kingdom,overview,2022-03-14,1990,170985,135,
K02000001,United Kingdom,overview,2022-03-13,1827,0,0,
K02000001,United Kingdom,overview,2022-03-12,1629,0,0,
K02000001,United Kingdom,overview,2022-03-11,1736,72898,114,
K02000001,United Kingdom,overview,2022-03-10,1719,71259,142,
K02000001,United Kingdom,overview,2022-03-09,1832,67159,123,
K02000001,United Kingdom,overview,2022-03-08,1698,61900,212,
K02000001,United Kingdom,overview,2022-03-07,1530,126604,139,
K02000001,United Kingdom,overview,2022-03-06,1456,0,0,
K02000001,United Kingdom,overview,2022-03-05,1246,0,0,
K02000001,United Kingdom,overview,2022-03-04,1370,44740,110,
K02000001,United Kingdom,overview,2022-03-03,1477,45656,194,
K02000001,United Kingdom,overview,2022-03-02,1458,44017,74,
K02000001,United Kingdom,overview,2022-03-01,1365,39000,194,
K02000001,United Kingdom,overview,2022-02-28,1400,82451,138,
K02000001,United Kingdom,overview,2022-02-27,1100,0,0,
K02000001,United Kingdom,overview,2022-02-26,1085,0,0,
K02000001,United Kingdom,overview,2022-02-25,1107,31933,120,
K02000001,United Kingdom,overview,2022-02-24,1224,38933,125,
K02000001,United Kingdom,overview,2022-02-23,1243,39656,164,
K02000001,United Kingdom,overview,2022-02-22,1178,41130,205,
K02000001,United Kingdom,overview,2022-02-21,1243,38409,15,
K02000001,United Kingdom,overview,2022-02-20,1137,31170,74,
K02000001,United Kingdom,overview,2022-02-19,1014,39693,142,
K02000001,United Kingdom,overview,2022-02-18,1102,47685,158,
K02000001,United Kingdom,overview,2022-02-17,1186,51899,183,
K02000001,United Kingdom,overview,2022-02-16,1374,54218,199,
K02000001,United Kingdom,overview,2022-02-15,1371,46186,234,
K02000001,United Kingdom,overview,2022-02-14,1353,41648,35,
K02000001,United Kingdom,overview,2022-02-13,1187,41270,52,
K02000001,United Kingdom,overview,2022-02-12,1148,46025,167,
K02000001,United Kingdom,overview,2022-02-11,1189,58899,193,
K02000001,United Kingdom,overview,2022-02-10,1346,66638,206,
K02000001,United Kingdom,overview,2022-02-09,1426,68214,276,
K02000001,United Kingdom,overview,2022-02-08,1478,66183,314,
K02000001,United Kingdom,overview,2022-02-07,1434,57623,45,
K02000001,United Kingdom,overview,2022-02-06,1350,57337,75,
K02000001,United Kingdom,overview,2022-02-05,1248,63493,259,
K02000001,United Kingdom,overview,2022-02-04,1422,84053,254,
K02000001,United Kingdom,overview,2022-02-03,1493,88171,303,
K02000001,United Kingdom,overview,2022-02-02,1662,92594,552,
K02000001,United Kingdom,overview,2022-02-01,1771,112458,219,
K02000001,United Kingdom,overview,2022-01-31,1663,92368,51,
K02000001,United Kingdom,overview,2022-01-30,1426,69007,91,
K02000001,United Kingdom,overview,2022-01-29,1451,76069,296,
K02000001,United Kingdom,overview,2022-01-28,1529,89176,277,
K02000001,United Kingdom,overview,2022-01-27,1684,96871,338,
K02000001,United Kingdom,overview,2022-01-26,1882,102292,346,
K02000001,United Kingdom,overview,2022-01-25,1901,94326,439,
K02000001,United Kingdom,overview,2022-01-24,1785,88447,56,
K02000001,United Kingdom,overview,2022-01-23,1690,78317,75,
K02000001,United Kingdom,overview,2022-01-22,1439,80263,297,
K02000001,United Kingdom,overview,2022-01-21,1676,95787,288,
K02000001,United Kingdom,overview,2022-01-20,1912,107364,330,
K02000001,United Kingdom,overview,2022-01-19,1991,108069,359,
K02000001,United Kingdom,overview,2022-01-18,2015,94432,438,
K02000001,United Kingdom,overview,2022-01-17,2026,84429,85,
K02000001,United Kingdom,overview,2022-01-16,1942,75041,91,
K02000001,United Kingdom,overview,2022-01-15,1788,81713,287,
K02000001,United Kingdom,overview,2022-01-14,1941,99652,270,
K02000001,United Kingdom,overview,2022-01-13,2167,109133,335,
K02000001,United Kingdom,overview,2022-01-12,2204,129587,398,
K02000001,United Kingdom,overview,2022-01-11,2419,120821,379,
K02000001,United Kingdom,overview,2022-01-10,2460,142224,77,
K02000001,United Kingdom,overview,2022-01-09,2217,141472,97,
K02000001,United Kingdom,overview,2022-01-08,2099,146390,313,
